[asn.txt]                                        2017-02-24 02:05:05Z

This file contains a list of autonomous system numbers and names of all
registered ASNs.  The column on the right below contains the ARIN
database "handle" of the technical, abuse or NOC contacts for the ASN.
Additional information may be obtained about any of the ASN contacts
in this list by querying the ARIN WHOIS server.  For questions or updates
on this information please contact the ARIN Registration Services Hostmaster
staff, HOSTMASTER@ARIN.NET.

AS Number               AS Name                                            POC Handles
 0                       IANA-RSVD-0                                        IANA-ARIN (Admin), IANA-IP-ARIN (Abuse), IANA-IP-ARIN (Tech)
 1                       LVLT-1                                             APL8-ARIN (Abuse), NOCSU27-ARIN (NOC), APL7-ARIN (Admin), IPADD5-ARIN (Tech)
 2                       UDEL-DCN                                           NSS13-ARIN (Abuse), CASHJ-ARIN (Tech), DJG2-ARIN (Admin), DJG2-ARIN (Tech)
 3                       MIT-GATEWAYS                                       SILIS-ARIN (Tech), SILIS-ARIN (Admin), MNO78-ARIN (NOC), MNS18-ARIN (Abuse)
 4                       ISI-AS                                             ACT-ORG-ARIN (Tech), ACT-ORG-ARIN (Abuse), ACT-ORG-ARIN (Admin)
 5                       SYMBOLICS                                          SG52-ARIN (Tech), SG52-ARIN (Abuse), SG52-ARIN (Admin)
 6                       BULL-HN                                            ZB126-ARIN (Tech), USINT-ARIN (Admin), ZB126-ARIN (Abuse), JLM23-ARIN (Tech)
 7                       RIPE-ASNBLOCK-7                                    RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 8                       RICE-AS                                            RUH-ORG-ARIN (Tech), RUH-ORG-ARIN (Admin), RUH-ORG-ARIN (Abuse)
 9                       CMU-ROUTER                                         CH4-ORG-ARIN (Tech), CH4-ORG-ARIN (NOC), CMA3-ARIN (Abuse), CH4-ORG-ARIN (Admin)
 10                      CSNET-EXT-AS                                       CS15-ARIN (Admin), CS15-ARIN (Abuse), CS15-ARIN (Tech)
 11                      HARVARD                                            NETWO4930-ARIN (NOC), ABUSE3331-ARIN (Abuse), LWS27-ARIN (Tech), PMC277-ARIN (Tech), PMC277-ARIN (Admin)
 12                      NYU-DOMAIN                                         TSS31-ARIN (Abuse), COSI-ARIN (Tech), ITS18-ARIN (Admin), COSI-ARIN (NOC)
 13                      DNIC-AS-00013                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 14                      COLUMBIA-GW                                        CUAC-ARIN (Abuse), CU-NOC-ARIN (Tech), CU-NOC-ARIN (Admin)
 15                      NET-DYNAMICS-EXP                                   ZSU-ARIN (Abuse), ZSU-ARIN (Tech), ZSU-ARIN (Admin)
 16                      LBL                                                CAL3-ARIN (Tech), STROM17-ARIN (Admin), CPP-ARIN (Abuse)
 17                      PURDUE                                             PNOC-ARIN (NOC), PUISP-ARIN (Admin), PURDU-ARIN (Tech), PUISP-ARIN (Abuse)
 18                      UTEXAS                                             NOC1301-ARIN (Admin), ZU83-ARIN (Abuse), ZU83-ARIN (Tech)
 19                      LEIDOS-AS                                          MAJ32-ARIN (Tech), JDF10-ARIN (Admin), LEIDO-ARIN (Abuse)
 20                      UR                                                 URTC-ARIN (Tech), URAC1-ARIN (Abuse), METZG28-ARIN (Tech), URAC-ARIN (Admin)
 21                      RAND                                               ZT72-ARIN (Admin), ZT72-ARIN (Abuse), ZT72-ARIN (Tech)
 22                      DNIC-AS-00022                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 23                      AS23                                               IPAMO-ARIN (Tech), CST57-ARIN (Admin), RFBJ-ARIN (Tech), NISN-ARIN (NOC), NASAA-ARIN (Abuse)
 24                      AS24                                               IPAMO-ARIN (Tech), CST57-ARIN (Admin), RFBJ-ARIN (Tech), NISN-ARIN (NOC), NASAA-ARIN (Abuse)
 25                      UCB                                                UCBSE-ARIN (Abuse), UCB-NOC-ARIN (Tech), UCB-NOC-ARIN (NOC), UCB-NOC-ARIN (Admin)
 26                      CORNELL                                            ZC166-ARIN (Abuse), DEC12-ARIN (Tech), ZC166-ARIN (Admin), ZC166-ARIN (NOC)
 27                      UMDNET                                             UM-ORG-ARIN (Admin), UM-ORG-ARIN (Tech), UARA-ARIN (Abuse), UM-ORG-ARIN (Abuse), UM-ORG-ARIN (NOC)
 28                      RIPE-ASNBLOCK-28                                   RNO29-ARIN (Tech), RNO29-ARIN (Admin), ABUSE3850-ARIN (Abuse)
 29                      YALE-AS                                            IST27-ARIN (Abuse), NOT35-ARIN (Tech), NET13-ARIN (Admin), HML1-ARIN (Tech)
 30                      SRI-AICNET                                         WMT-ARIN (Abuse), WMT-ARIN (Admin), WMT-ARIN (Tech)
 31                      CIT                                                CI2-ORG-ARIN (Admin), CI2-ORG-ARIN (Tech), CI2-ORG-ARIN (Abuse)
 32                      STANFORD                                           RR959-ARIN (Tech), RR959-ARIN (Admin), TINGL2-ARIN (Tech), ABUSE4906-ARIN (Abuse)
 33                      HP-DIGITAL-33                                      AI2-ORG-ARIN (Admin), HH15-ORG-ARIN (Tech), HH15-ORG-ARIN (Abuse)
 34                      UDELNET                                            NSS13-ARIN (Abuse), CASHJ-ARIN (Tech), DJG2-ARIN (Admin), DJG2-ARIN (Tech)
 35                      MITRE-AS-1                                         RS1914-ARIN (Abuse), MITRE-ARIN (NOC), RS1914-ARIN (Tech), RS1914-ARIN (Admin)
 36                      EGP-TESTOR                                         LS732-ARIN (Tech), HWB1-ARIN (Tech), LS732-ARIN (Admin), HWB1-ARIN (Abuse), LS732-ARIN (Abuse)
 37                      DNIC-AS-00037                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 38                      UIUC                                               HOSTM159-ARIN (Admin), UIUCS-ARIN (Abuse), HOSTM159-ARIN (Tech)
 39                      DNIC-AS-00039                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 40                      MIT-TEST                                           SILIS-ARIN (Tech), SILIS-ARIN (Admin), MNO78-ARIN (NOC), MNS18-ARIN (Abuse), CSAIL-ARIN (Tech)
 41                      AS41                                               IPAMO-ARIN (Tech), CST57-ARIN (Admin), RFBJ-ARIN (Tech), NISN-ARIN (NOC), NASAA-ARIN (Abuse)
 42                      WOODYNET-1                                         BW1324-ARIN (Admin), BW1324-ARIN (Tech), BW1324-ARIN (Abuse)
 43                      BNL-AS                                             JB3159-ARIN (Abuse), JB3159-ARIN (Tech), JB3159-ARIN (Admin), JB3159-ARIN (NOC), ZB89-ARIN (Tech)
 44                      S1-DOMAIN                                          DNSAD268-ARIN (Tech), DNSAD268-ARIN (Abuse), GOLDS7-ARIN (Admin), ENO88-ARIN (NOC)
 45                      LLL-TIS-AS                                         DNSAD268-ARIN (Tech), DNSAD268-ARIN (Abuse), GOLDS7-ARIN (Admin), ENO88-ARIN (NOC)
 46                      RUTGERS                                            RU-ORG-ARIN (Tech), RU-ORG-ARIN (Admin), RU-ORG-ARIN (NOC), RU-ORG-ARIN (Abuse)
 47                      USC-AS                                             BY86-ARIN (Admin), UNA2-ARIN (Tech), UNOC6-ARIN (NOC), USCAB-ARIN (Abuse)
 48                      DNIC-AS-00048                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 49                      ICST-AS                                            CWH3-ARIN (Tech), CWH3-ARIN (Abuse), CWH3-ARIN (Admin)
 50                      ORNL-MSRNET                                        NM5-ORG-ARIN (Tech), NM5-ORG-ARIN (Abuse), NM5-ORG-ARIN (Admin), SH1294-ARIN (Tech)
 51                      DNIC-AS-00051                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 52                      UCLA                                               NO102-ORG-ARIN (Tech), UBO-ARIN (Abuse), NO102-ORG-ARIN (Admin), NO102-ORG-ARIN (NOC), UNO4-ARIN (Tech)
 53                      NORTHROP-AS                                        CKN23-ARIN (Tech), DEC3-ARIN (Abuse), CKN23-ARIN (Admin), DEC3-ARIN (Tech)
 54                      DNIC-AS-00054                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 55                      UPENN                                              MW274-ARIN (Tech), OBRIE72-ARIN (Tech), MW274-ARIN (Admin), ISO-ARIN (Abuse), UNIVE-ARIN (NOC)
 56                      DNIC-AS-00056                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 57                      NL-GIGAPOP                                         UOSA-ARIN (Abuse), NTA-ORG-ARIN (Admin), NTA-ORG-ARIN (NOC), NTA-ORG-ARIN (Tech), TP63-ARIN (Tech)
 58                      DREA-AS                                            KDR-ARIN (Tech), KDR-ARIN (Admin), KDR-ARIN (Abuse)
 59                      WISC-MADISON-AS                                    NO13-ORG-ARIN (Admin), NOC212-ARIN (Tech), NOC212-ARIN (Abuse)
 60                      AINET-AS60                                         NETWO142-ARIN (Abuse), NETWO142-ARIN (Tech), AI-ORG-ARIN (Admin), NETWO142-ARIN (NOC), AI-ORG-ARIN (Tech)
 61                      DEC-MARLBORO-AS                                    REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 62                      CYRS                                               NETAD3-ARIN (Tech), NETAD3-ARIN (Admin), NETAD3-ARIN (NOC), APC22-ARIN (Abuse)
 63                      LL-MI                                              CKN23-ARIN (Tech), JIS-ARIN (Abuse), ZM44-ARIN (Abuse), GRY2-ARIN (Abuse), JIS-ARIN (Tech), KLS24-ARIN (Abuse), CKN23-ARIN (Admin), ZM44-ARIN (Tech)
 64                      MITRE-AS-2                                         RS1914-ARIN (Admin), RS1914-ARIN (Abuse), RS1914-ARIN (Tech), MITRE-ARIN (NOC)
 65                      AF-RASN-65                                         REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 66                      DNIC-AS-00066                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 67                      SDC-PRC-AS                                         UNISY-ARIN (Tech), UNISY-ARIN (Admin), UNISY-ARIN (Abuse)
 68                      LANL-INET-AS                                       PGR1-ARIN (Tech), NETWO5005-ARIN (NOC), ADK3-ARIN (Admin), CSIRT1-ARIN (Abuse), PCW-ARIN (Tech)
 69                      UPENN2                                             MW274-ARIN (Tech), OBRIE72-ARIN (Tech), MW274-ARIN (Admin), ISO-ARIN (Abuse), UNIVE-ARIN (NOC)
 70                      NLM-GW                                             GATES18-ARIN (Tech), NAC15-ARIN (Abuse), GATES18-ARIN (Admin)
 71                      HP-INTERNET-AS                                     AI2-ORG-ARIN (Admin), HH15-ORG-ARIN (Tech), HH15-ORG-ARIN (Abuse), AI2-ORG-ARIN (Tech)
 72                      SCHLUMBERGER-AS                                    SISO-ARIN (Abuse), SHEWD-ARIN (NOC), ZS104-ARIN (Tech), ZS104-ARIN (Admin)
 73                      WASHINGTON-AS                                      UW-NOC-ARIN (Admin), UW-NOC-ARIN (Tech), UWSO-ARIN (Abuse), UW-NOC-ARIN (NOC)
 74                      XDRENET-AS                                         JS161-ARIN (Admin), JS161-ARIN (Abuse), JS161-ARIN (Tech)
 75                      ANL-AS                                             LW26-ARIN (Admin), ABUSE482-ARIN (Abuse), LW26-ARIN (Tech), NOCAN-ARIN (NOC), ANA3-ORG-ARIN (Tech)
 76                      SDC-CAM-AS                                         UNISY-ARIN (Tech), UNISY-ARIN (Admin), UNISY-ARIN (Abuse)
 77                      JHUAPL-AS                                          ZJ20-ARIN (Tech), ZJ20-ARIN (Abuse), ZJ20-ARIN (Admin)
 78                      BA-346-78                                          HOLME12-ARIN (Tech), HOLME12-ARIN (NOC), GRH7-ARIN (Tech), GRH7-ARIN (NOC), GRH7-ARIN (Abuse), HOLME12-ARIN (Abuse), GRH7-ARIN (Admin)
 79                      DSPO-HC-AS                                         PGR1-ARIN (Tech), NETWO5005-ARIN (NOC), ADK3-ARIN (Admin), CSIRT1-ARIN (Abuse), BT5-ARIN (Tech)
 80                      GE-CRD                                             GET2-ORG-ARIN (Abuse), KONAP-ARIN (Tech), GET2-ORG-ARIN (Tech), GET2-ORG-ARIN (Admin)
 81                      NCREN                                              NH34-ORG-ARIN (Tech), NH34-ORG-ARIN (Admin), ABUSE3348-ARIN (Abuse)
 82                      TWG-DEMO-AS                                        CKN23-ARIN (Abuse), CKN23-ARIN (Tech), CKN23-ARIN (Admin)
 83                      DNIC-AS-00083                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 84                      DNIC-AS-00084                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 85                      AERO-NET                                           CKN23-ARIN (Tech), CKN23-ARIN (Admin), GG277-ARIN (Abuse), LCN-ARIN (Abuse), LCN-ARIN (Tech)
 86                      CSC-300-AS86                                       BUCKM3-ARIN (Tech), GFB1-ARIN (Tech), ABDUL17-ARIN (Admin), KETTL-ARIN (Tech), KETTL-ARIN (Abuse), ABDUL17-ARIN (Tech)
 87                      INDIANA-AS                                         DBH19-ARIN (Tech), INDIA-ARIN (Abuse), WALLA72-ARIN (Admin), BS69-ARIN (Tech)
 88                      PRINCETON-AS                                       ONS1-ARIN (NOC), CINN-ARIN (Tech), ABUSE16-ARIN (Abuse), CINN-ARIN (Admin)
 89                      DNIC-AS-00089                                      REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse), REGIS10-ARIN (Tech)
 90                      SUN-AS                                             ORACL1-ARIN (Tech), ORACL-ARIN (Admin), NISAM-ARIN (Abuse)
 91                      RPI-AS                                             GD341-ARIN (Tech), SECUR58-ARIN (Abuse), GD341-ARIN (Admin)
 92                      CLARKSON-AS                                        JOSHU3-ARIN (Admin), HUNTL9-ARIN (Tech), ABUSE1107-ARIN (Abuse)
 93                      NTTA-93                                            VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 94                      DNIC-AS-00094                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 95                      DNIC-AS-00095                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 96                      DNIC-AS-00096                                      REGIS10-ARIN (Tech), REGIS10-ARIN (Admin), REGIS10-ARIN (Abuse)
 97                      NTTA-97                                            VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 98                      ROCKEFELLER-AS                                     LOVEH-ARIN (Admin), LOVEH-ARIN (Tech), NETWO4163-ARIN (Abuse), EDA36-ARIN (Tech)
 99                      INTEL-IWARP                                        CKN23-ARIN (Tech), CKN23-ARIN (Admin), CKN23-ARIN (Abuse), ICE-ARIN (Tech)
 100                     FMC-CTC                                            WW82-ARIN (Abuse), WW82-ARIN (Admin), WW82-ARIN (Tech)
 101                     WASH-NSF-AS                                        UW-NOC-ARIN (Admin), UW-NOC-ARIN (Tech), UWSO-ARIN (Abuse), UW-NOC-ARIN (NOC)
 102                     NSF-HQ-AS                                          FW17-ARIN (Tech), FW17-ARIN (Admin), NSFAD-ARIN (Tech), FW17-ARIN (Abuse)
 103                     NWU-AS                                             NTN7-ARIN (Admin), NUNS-ARIN (Abuse), NUNA-ARIN (Tech), NUN-ARIN (NOC)
 104                     COLORADO-AS                                        DCMW-ARIN (Tech), ABUSE306-ARIN (Abuse), CUBOU-ARIN (Admin)
 105                     MOT-MCD-AS                                         DP7-ARIN (Admin), DP7-ARIN (Abuse), DP7-ARIN (Tech)
 106                     GDAIS-ASN-106                                      TECH700-ARIN (Admin), BUSHN4-ARIN (Tech), TECH700-ARIN (Tech), TECH700-ARIN (Abuse)
 107                     ECSNET-AS                                          REGIS10-ARIN (Admin), REGIS10-ARIN (Tech), REGIS10-ARIN (Abuse)
 108                     XEROX-AS                                           DCS-ARIN (Admin), DCS-ARIN (Tech), DCS-ARIN (Abuse)
 109                     CISCOSYSTEMS                                       GATC-ARIN (Tech), GATC-ARIN (Admin), DN5-ORG-ARIN (Abuse), GATC-ARIN (NOC), GATC-ARIN (Abuse)
 110                     XAIT-AS                                            CKN23-ARIN (Tech), MR47-ARIN (Abuse), CKN23-ARIN (Admin), AL6-ARIN (Tech)
 111                     BOSTONU-AS                                         NOC319-ARIN (Admin), NOC319-ARIN (NOC), IRT1-ARIN (Abuse), NOC319-ARIN (Tech), VLC-ORG-ARIN (Tech)
 112                     ROOTSERV                                           OARCA-ARIN (Abuse), OARCA-ARIN (Tech), OARCA-ARIN (NOC), OARCA-ARIN (Admin)
 113                     SCCNET-AS                                          MJO4-ARIN (Tech), MJO4-ARIN (Abuse), MJO4-ARIN (Admin)
 114                     NTTA-114                                           VIPAR-ARIN (Tech), VIPAR-ARIN (Admin), NAAC-ARIN (Abuse), NASC-ARIN (NOC), VIA4-ORG-ARIN (Tech)
 115                     DNIC-AS-00115                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 116                     TELCORDIA                                          DW648-ARIN (Abuse), ERICS3-ARIN (Admin), DW648-ARIN (Tech)
 117                     ALBM-NET-AS                                        DV42-ARIN (Tech), DV42-ARIN (Admin), DV42-ARIN (Abuse)
 118                     DNIC-AS-00118                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
 119                     AMS-AS                                             SRE108-ARIN (Tech), JBK6-ARIN (Tech), SRE108-ARIN (Admin), JBK6-ARIN (Abuse), SRE108-ARIN (Abuse)
 120                     MITRE-OMAHA                                        RS1914-ARIN (Admin), RS1914-ARIN (Abuse), RS1914-ARIN (Tech), MITRE-ARIN (NOC)
 121                     DNIC-AS-00121                                      REGIS10-ARIN (Tech), MIL-HSTMST-ARIN (Tech), MIL-HSTMST-ARIN (Admin), REGIS10-ARIN (Abuse)
